"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EFEADKAH_00193",8880.39699416904,-6.02445929744465,0.101295698312302,-59.4739894962846,0,0
"EFEADKAH_00839",11774.067482691,-5.69930800893,0.0863531668716542,-65.9999883663887,0,0
"EFEADKAH_00838",16618.1493320176,-5.63752901650465,0.0757542806132969,-74.4186199230452,0,0
"EFEADKAH_00194",8199.90661926921,-5.49426775255464,0.0717573702853515,-76.567295188021,0,0
"EFEADKAH_00837",17932.3194826457,-5.48788129240915,0.0700526962211594,-78.3393300820809,0,0
"EFEADKAH_01857",839.854416667515,-5.42362138090171,0.165850535442308,-32.7018623511671,1.46940101389442e-234,1.95100205104748e-233
"EFEADKAH_00192",5477.85119513191,-5.4085517492001,0.0844355804236796,-64.0553629413234,0,0
"EFEADKAH_00834",8023.76501860828,-5.34960565972445,0.096384562653024,-55.5027227646668,0,0
"EFEADKAH_00836",19408.5472690894,-5.24319476450575,0.0773193528672296,-67.8121915157413,0,0
"EFEADKAH_00835",10113.4086162165,-5.22606350159777,0.0901593541308753,-57.9647397874171,0,0
"EFEADKAH_00833",27140.0362009924,-5.20927372571752,0.0623953680665683,-83.4881480330376,0,0
"EFEADKAH_00345",2947.58673256519,-4.94546956356928,0.0955463188471762,-51.7599173180018,0,0
"EFEADKAH_01976",1843.50166281764,-4.89533100484215,0.106646404880264,-45.9024475352763,0,0
"EFEADKAH_00396",10.8403530624657,-4.87591707850985,1.11306171754436,-4.38063496538818,1.18333968998175e-05,1.9436435016921e-05
"EFEADKAH_00831",14032.9063676113,-4.86409529509101,0.0752860236372379,-64.608210928079,0,0
"EFEADKAH_00832",13841.0353132407,-4.85986284099424,0.0724106703449721,-67.1152858804005,0,0
"EFEADKAH_01773",5139.3079520032,-4.77177808235821,0.0724057353932147,-65.903316311119,0,0
"EFEADKAH_00344",9497.6524018362,-4.57652854157199,0.0707686910583601,-64.6688312745237,0,0
"EFEADKAH_00840",18297.8674427675,-4.47218854733329,0.0710226612418243,-62.9684732891941,0,0
"EFEADKAH_00841",10010.9978226472,-4.46481726112897,0.0697041820392602,-64.0537931944198,0,0
"EFEADKAH_02850",2406.81319435015,-4.42101375652439,0.0925848878481796,-47.7509219838766,0,0
"EFEADKAH_01159",21530.590872615,-4.37844587332504,0.0629625455099167,-69.5404837568936,0,0
"EFEADKAH_01790",919.717933306581,-4.19298189505505,0.118698830271387,-35.324542672143,2.46675558355412e-273,3.83237181898563e-272
"EFEADKAH_01977",2608.95433800067,-4.16655254601896,0.078947307101574,-52.7763732416896,0,0
"EFEADKAH_01160",15992.3852904729,-4.15613211226827,0.0680694688784509,-61.0572137662734,0,0
"EFEADKAH_01774",1782.31470417146,-4.11538769930074,0.0903540223942744,-45.5473656871919,0,0
"EFEADKAH_00371",455.389939481426,-4.09425217054402,0.149133177741894,-27.4536641177858,6.28191761661023e-166,5.68579570464361e-165
"EFEADKAH_02074",22.3323269808557,-4.08282672419083,0.634103618633723,-6.43873746216419,1.20471370549544e-10,2.33355212619746e-10
"EFEADKAH_01367",29202.9775771496,-4.01205291951488,0.060582937961102,-66.2241392467771,0,0
"EFEADKAH_00700",3.11232527509705,-3.94782852755538,1.44784925241581,-2.72668478501351,0.00639741208840109,0.0089724523194234
"EFEADKAH_01978",3282.69278355766,-3.70809235549001,0.0738570332372402,-50.2063539917593,0,0
"EFEADKAH_00830",6685.87196142661,-3.69142750513503,0.0647485887756503,-57.0117059682271,0,0
